Location_ID,Season,Data_Type,Parameter,Value,Unit,Acceptable_Limit,Permissible_Limit,Compliance_Status,Reference
PD-1,Premonsoon,Original,pH,4.89,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
PD-1,Premonsoon,Original,TDS,192.0,mg/L,500,2000,Compliant - Safe,Table 1
PD-1,Premonsoon,Original,TH,7.0,mg/L,200,600,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,Alkalinity,102.0,mg/L,200,600,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,Ca,32.55,mg/L,75,200,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,Mg,5.04,mg/L,30,100,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,Iron,0.12,mg/L,0.3,0.3,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,Cl,31.03,mg/L,250,1000,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,SO4,6.7,mg/L,200,400,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,NO3,24.02,mg/L,45,45,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,F,0.05,mg/L,1.0,1.5,Compliant - Safe,Table 2
PD-1,Premonsoon,Original,EC,300.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
PD-1,Premonsoon,Original,Na,16.48,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
PD-1,Premonsoon,Original,K,4.27,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
PD-1,Premonsoon,Original,DO,5.18,mg/L,"(6, 14)","(4, 14)",Permissible - Needs Caution,CPCB Class A Criteria
PD-1,Premonsoon,Original,HCO3,63.12,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
PD-2,Premonsoon,Original,pH,5.58,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
PD-2,Premonsoon,Original,TDS,258.0,mg/L,500,2000,Compliant - Safe,Table 1
PD-2,Premonsoon,Original,TH,22.0,mg/L,200,600,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,Alkalinity,113.0,mg/L,200,600,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,Ca,34.73,mg/L,75,200,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,Mg,6.46,mg/L,30,100,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,Iron,0.39,mg/L,0.3,0.3,Non-Compliant - Unsafe,Table 2
PD-2,Premonsoon,Original,Cl,54.56,mg/L,250,1000,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,SO4,22.8,mg/L,200,400,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,NO3,28.82,mg/L,45,45,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,F,0.05,mg/L,1.0,1.5,Compliant - Safe,Table 2
PD-2,Premonsoon,Original,EC,403.0,uS/cm,750,3000,Compliant - Safe,"WHO (2011) Guidelines for Drinking-water Quality, 4th Ed."
PD-2,Premonsoon,Original,Na,28.92,mg/L,200,200,Compliant - Safe,WHO (2011) / ICMR recommendation
PD-2,Premonsoon,Original,K,6.31,mg/L,12,12,Compliant - Safe,GoI FSSAI / WHO advisory
PD-2,Premonsoon,Original,DO,6.11,mg/L,"(6, 14)","(4, 14)",Compliant - Safe,CPCB Class A Criteria
PD-2,Premonsoon,Original,HCO3,65.34,mg/L,300,600,Compliant - Safe,Derived from Alkalinity (IS 10500)
PD-3,Premonsoon,Original,pH,5.13,,"(6.5, 8.5)","(6.5, 8.5)",Non-Compliant - Unsafe,Table 1
PD-3,Premonsoon,Original,TDS,212.0,mg/L,500,2000,Compliant - Safe,Table 1
PD-3,Premonsoon,Original,TH,6.0,mg/L,200,600,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,Alkalinity,107.0,mg/L,200,600,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,Ca,32.64,mg/L,75,200,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,Mg,6.19,mg/L,30,100,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,Iron,0.28,mg/L,0.3,0.3,Compliant - Safe,Table 2
PD-3,Premonsoon,Original,Cl,27.01,mg/L,250,1000,Compliant - Safe,Table 2
